Image Name,Main Color 1,Main Color 1 %,Main Color 2,Main Color 2 %,Main Color 3,Main Color 3 %,Unique Color Count,Average Color
1002462721355605.jpg,"[228, 217, 215]",11.12,"[32, 43, 104]",33.75,"[90, 107, 155]",20.79,4636,"[72.03007777777778, 73.16376666666666, 110.96323333333333]"
1006839897842365.jpg,"[82, 48, 86]",15.84,"[238, 222, 224]",14.0,"[24, 8, 27]",42.13,4779,"[104.61153333333333, 78.00216666666667, 97.55305555555556]"
1005496424373161.jpg,"[20, 22, 53]",26.37,"[145, 75, 67]",7.95,"[32, 43, 104]",33.8,4636,"[72.03007777777778, 73.16376666666666, 110.96323333333333]"
1009100954246582.jpg,"[37, 54, 109]",39.32,"[156, 116, 109]",9.92,"[220, 203, 199]",8.2,4025,"[68.64552222222223, 72.96824444444445, 95.88177777777778]"
1014948383759566.jpg,"[9, 9, 22]",38.32,"[247, 192, 13]",6.2,"[154, 105, 102]",12.82,3103,"[66.66558888888889, 59.21858888888889, 70.07277777777777]"
1016666336813113.jpg,"[189, 160, 134]",12.8,"[21, 21, 32]",15.44,"[160, 74, 65]",7.42,3128,"[87.23506666666667, 84.04966666666667, 115.42553333333333]"
1017074716470547.jpg,"[20, 22, 53]",26.35,"[90, 107, 155]",20.8,"[228, 217, 215]",11.13,4636,"[72.03007777777778, 73.16376666666666, 110.96323333333333]"
1013297337205987.jpg,"[240, 232, 231]",9.33,"[28, 39, 105]",49.56,"[18, 22, 52]",27.18,4155,"[61.55918888888889, 62.2011, 103.94875555555555]"
1017867590093265.jpg,"[242, 241, 243]",11.06,"[20, 25, 54]",35.79,"[194, 82, 60]",11.54,3720,"[90.58212222222222, 85.77381111111112, 101.18821111111112]"
1017875370134073.jpg,"[142, 143, 201]",25.36,"[62, 77, 145]",22.93,"[243, 184, 28]",6.66,4983,"[121.17337777777777, 122.39535555555555, 153.12658888888888]"
1018733943286507.jpg,"[47, 36, 42]",21.77,"[142, 132, 142]",17.04,"[113, 80, 79]",27.66,4941,"[99.13972222222222, 88.18348888888889, 104.22753333333333]"
1021765613071360.jpg,"[216, 213, 236]",17.5,"[62, 76, 145]",24.94,"[135, 137, 193]",24.46,4703,"[114.76397777777778, 116.13407777777778, 146.2048111111111]"
1023283016007222.jpg,"[134, 78, 72]",13.07,"[246, 234, 230]",9.84,"[67, 80, 140]",34.69,4015,"[98.8491, 90.29507777777778, 118.21676666666667]"
1023289176109123.jpg,"[14, 8, 14]",40.14,"[133, 121, 130]",17.65,"[230, 229, 231]",12.79,4198,"[86.74865555555556, 68.83511111111112, 79.1006]"
1024224589367606.jpg,"[33, 47, 109]",53.01,"[243, 243, 246]",10.04,"[69, 78, 131]",18.18,3019,"[75.17405555555555, 79.63076666666667, 122.86945555555556]"
1024647719411833.jpg,"[12, 19, 38]",27.34,"[212, 237, 246]",34.02,"[105, 123, 146]",12.71,4505,"[112.764, 124.2577, 139.97756666666666]"
1024606639398088.jpg,"[23, 30, 48]",29.89,"[246, 244, 245]",10.36,"[69, 81, 91]",25.29,4668,"[101.65193333333333, 109.15165555555555, 121.5282888888889]"
1028952141967096.jpg,"[150, 70, 70]",6.36,"[204, 176, 170]",7.6,"[35, 39, 75]",40.08,3827,"[93.34751111111112, 93.24614444444444, 126.76213333333334]"
1030691641769164.jpg,"[55, 54, 89]",30.19,"[191, 170, 172]",6.94,"[19, 21, 49]",25.38,4911,"[87.94512222222222, 77.14737777777778, 104.03927777777778]"
1031902304860901.jpg,"[55, 54, 89]",30.08,"[243, 242, 244]",7.14,"[118, 86, 115]",30.39,4911,"[87.94512222222222, 77.14737777777778, 104.03927777777778]"
1031431642104894.jpg,"[247, 238, 235]",7.42,"[63, 75, 138]",48.74,"[20, 22, 44]",30.53,3672,"[78.37461111111111, 76.9306, 113.14923333333333]"
1032800938310913.jpg,"[118, 86, 115]",30.4,"[243, 242, 243]",7.14,"[19, 21, 49]",25.36,4911,"[87.94512222222222, 77.14737777777778, 104.03927777777778]"
1035154627918319.jpg,"[14, 15, 30]",47.6,"[247, 189, 16]",5.12,"[37, 43, 94]",31.9,3218,"[60.4553, 55.74232222222222, 70.06334444444444]"
1035296668320318.jpg,"[75, 88, 141]",37.01,"[245, 246, 248]",9.29,"[36, 34, 76]",43.31,3768,"[87.04918888888889, 85.19205555555556, 123.20456666666666]"
1036947304601122.jpg,"[41, 56, 108]",34.98,"[220, 209, 209]",7.61,"[5, 27, 71]",38.79,4082,"[71.8887111111111, 75.22922222222222, 94.20512222222223]"
