Image Name,Main Color 1,Main Color 1 %,Main Color 2,Main Color 2 %,Main Color 3,Main Color 3 %,Unique Color Count,Average Color
1153584479046141.jpg,"[211, 166, 194]",4.24,"[168, 81, 133]",28.35,"[207, 99, 66]",28.63,2295,"[178.32807777777776, 100.30476666666667, 147.7075]"
1185492626031545.jpg,"[129, 60, 201]",28.92,"[207, 99, 66]",28.63,"[250, 245, 247]",9.85,2295,"[178.32807777777776, 100.30476666666667, 147.7075]"
1029349012149714.jpg,"[23, 23, 23]",89.8,"[185, 185, 185]",2.2,"[70, 69, 69]",2.76,247,"[36.864466666666665, 36.82711111111111, 36.754844444444444]"
1018621563144632.jpg,"[124, 211, 216]",20.98,"[10, 32, 58]",11.0,"[211, 239, 235]",32.02,2570,"[152.48486666666668, 202.00137777777778, 204.90525555555556]"
1564295654483463.jpg,"[6, 129, 253]",56.5,"[5, 24, 56]",34.17,"[120, 183, 247]",4.13,1233,"[20.654044444444445, 99.97513333333333, 184.43883333333332]"
1484554065599681.jpg,"[136, 39, 88]",28.89,"[244, 233, 239]",8.1,"[85, 34, 120]",29.37,2600,"[146.77117777777778, 59.02686666666666, 105.15805555555555]"
1548874592703764.jpg,"[136, 39, 88]",28.88,"[244, 232, 239]",8.1,"[85, 34, 120]",29.36,2600,"[146.77117777777778, 59.02686666666666, 105.15805555555555]"
1195984544972668.jpg,"[182, 51, 66]",23.48,"[26, 118, 221]",22.8,"[225, 221, 234]",8.38,1985,"[115.97934444444445, 98.00414444444445, 151.91074444444445]"
1685132512027153.jpg,"[207, 99, 65]",28.18,"[129, 60, 200]",29.41,"[250, 244, 247]",9.85,2295,"[178.32807777777776, 100.30476666666667, 147.7075]"
1831920213966225.jpg,"[23, 23, 23]",89.8,"[184, 184, 184]",2.23,"[238, 238, 238]",3.03,247,"[36.864466666666665, 36.82711111111111, 36.754844444444444]"
1697603670779405.jpg,"[210, 239, 234]",33.25,"[10, 32, 58]",11.02,"[123, 211, 216]",20.36,2570,"[152.48486666666668, 202.00137777777778, 204.90525555555556]"
1728688614558935.jpg,"[211, 239, 235]",32.04,"[10, 32, 58]",11.02,"[124, 211, 216]",20.95,2570,"[152.48486666666668, 202.00137777777778, 204.90525555555556]"
2181395922246767.jpg,"[196, 80, 147]",34.11,"[248, 234, 245]",6.43,"[175, 68, 163]",33.85,2138,"[199.21997777777779, 92.32972222222222, 157.95353333333333]"
1940665076406578.jpg,"[129, 60, 201]",28.92,"[207, 99, 66]",28.63,"[250, 244, 247]",9.86,2295,"[178.32807777777776, 100.30476666666667, 147.7075]"
1959108574528743.jpg,"[70, 69, 69]",2.76,"[23, 23, 23]",89.8,"[238, 238, 238]",3.03,247,"[36.864466666666665, 36.82711111111111, 36.754844444444444]"
2267345963626845.jpg,"[23, 23, 23]",89.8,"[185, 185, 185]",2.24,"[129, 128, 126]",2.22,247,"[36.864466666666665, 36.82711111111111, 36.754844444444444]"
2332826707053052.jpg,"[10, 32, 58]",11.02,"[170, 227, 227]",31.65,"[81, 120, 135]",4.35,2570,"[152.48486666666668, 202.00137777777778, 204.90525555555556]"
2887304991401171.jpg,"[5, 24, 56]",34.17,"[6, 129, 253]",56.5,"[219, 236, 251]",4.17,1233,"[20.654044444444445, 99.97513333333333, 184.43883333333332]"
3394248894208786.jpg,"[241, 155, 139]",36.52,"[94, 76, 84]",2.24,"[240, 183, 150]",54.84,1707,"[227.55437777777777, 163.84106666666668, 140.66793333333334]"
371495132498868.jpg,"[123, 211, 215]",20.35,"[10, 32, 58]",10.98,"[210, 239, 234]",33.26,2570,"[152.48486666666668, 202.00137777777778, 204.90525555555556]"
3774438879543367.jpg,"[6, 129, 253]",56.5,"[5, 24, 56]",34.17,"[120, 183, 247]",4.13,1233,"[20.654044444444445, 99.97513333333333, 184.43883333333332]"
3797725427212496.jpg,"[211, 166, 194]",4.24,"[129, 60, 201]",28.86,"[207, 99, 66]",28.72,2295,"[178.32807777777776, 100.30476666666667, 147.7075]"
407409155247551.jpg,"[168, 81, 133]",28.34,"[211, 166, 193]",4.24,"[207, 99, 66]",28.63,2295,"[178.32807777777776, 100.30476666666667, 147.7075]"
3941721179438665.jpg,"[124, 211, 216]",20.95,"[10, 32, 58]",11.02,"[170, 227, 227]",31.65,2570,"[152.48486666666668, 202.00137777777778, 204.90525555555556]"
455402547486928.jpg,"[6, 129, 253]",56.49,"[5, 24, 56]",34.17,"[219, 236, 251]",4.17,1233,"[20.654044444444445, 99.97513333333333, 184.43883333333332]"
471029762495487.jpg,"[185, 40, 56]",28.13,"[189, 135, 163]",5.52,"[85, 34, 120]",29.36,2600,"[146.77117777777778, 59.02686666666666, 105.15805555555555]"
472228065692087.jpg,"[6, 129, 253]",56.5,"[5, 24, 56]",34.17,"[120, 183, 247]",4.13,1233,"[20.654044444444445, 99.97513333333333, 184.43883333333332]"
477350355188661.jpg,"[23, 23, 23]",89.8,"[238, 238, 238]",2.98,"[129, 128, 126]",2.22,247,"[36.864466666666665, 36.82711111111111, 36.754844444444444]"
482396401064519.jpg,"[23, 23, 23]",86.6,"[194, 194, 194]",3.62,"[77, 71, 61]",4.32,727,"[39.48171111111111, 38.0361, 35.61171111111111]"
491066447009103.jpg,"[85, 34, 120]",29.36,"[244, 233, 239]",8.1,"[136, 39, 88]",28.89,2600,"[146.77117777777778, 59.02686666666666, 105.15805555555555]"
526932503218055.jpg,"[136, 39, 88]",28.88,"[244, 232, 239]",8.1,"[85, 34, 120]",29.36,2600,"[146.77117777777778, 59.02686666666666, 105.15805555555555]"
536262352069324.jpg,"[129, 60, 200]",29.4,"[207, 99, 65]",28.19,"[250, 245, 247]",9.85,2295,"[178.32807777777776, 100.30476666666667, 147.7075]"
542226661574069.jpg,"[23, 23, 23]",89.8,"[238, 238, 238]",2.98,"[128, 127, 126]",2.22,247,"[36.864466666666665, 36.82711111111111, 36.754844444444444]"
691525029830887.jpg,"[254, 254, 254]",88.11,"[20, 20, 20]",3.57,"[145, 144, 143]",2.52,291,"[237.07163333333332, 237.07002222222224, 237.0344]"
778564614225410.jpg,"[136, 39, 88]",28.89,"[185, 40, 56]",28.15,"[189, 136, 163]",5.52,2600,"[146.77117777777778, 59.02686666666666, 105.15805555555555]"
857889382560321.jpg,"[210, 239, 234]",33.27,"[10, 32, 58]",11.0,"[123, 211, 216]",20.39,2553,"[152.4899111111111, 202.00205555555556, 204.90763333333334]"
906582104629349.jpg,"[6, 129, 253]",56.49,"[5, 24, 56]",34.17,"[218, 236, 251]",4.19,1233,"[20.654044444444445, 99.97513333333333, 184.43883333333332]"
915217730646707.jpg,"[250, 244, 247]",9.85,"[168, 81, 134]",28.07,"[129, 60, 201]",28.77,2295,"[178.32807777777776, 100.30476666666667, 147.7075]"
996532461942441.jpg,"[241, 239, 249]",8.56,"[81, 88, 195]",24.65,"[182, 110, 224]",21.76,1667,"[116.0133, 106.08614444444444, 206.51814444444443]"
